account_id,customer_id,account_type,currency,account_status,opening_date,last_activity_date,average_monthly_balance_gbp,iban
ACC-UK-000019,CUST-UK-050013,SAVINGS,GBP,ACTIVE,2016-11-23,2024-08-17,3157.56,GB24BARC12646033724925
ACC-UK-000020,CUST-UK-050014,SAVINGS,GBP,ACTIVE,2013-01-19,2024-08-26,1746.7,GB30BARC82671918687476
ACC-UK-000021,CUST-UK-050015,SAVINGS,GBP,ACTIVE,2017-12-20,2024-11-07,2518.44,GB87BARC24657303833958
ACC-UK-000022,CUST-UK-050016,SAVINGS,GBP,ACTIVE,2016-03-22,2024-10-03,9807.28,GB96BARC94862894649616
ACC-UK-000023,CUST-UK-050017,SAVINGS,GBP,ACTIVE,2020-08-25,2024-10-13,6590.85,GB68BARC38386621869253
ACC-UK-000024,CUST-UK-050018,CURRENT,GBP,ACTIVE,2010-07-30,2024-10-07,3014.41,GB97BARC82466729184114
ACC-UK-000025,CUST-UK-050019,CURRENT,GBP,ACTIVE,2015-08-09,2024-11-07,4505.99,GB43BARC10314447723880
ACC-UK-000026,CUST-UK-050020,SAVINGS,GBP,ACTIVE,2021-01-18,2024-08-30,3239.79,GB77BARC40871143809514
ACC-UK-000027,CUST-UK-050021,CURRENT,GBP,ACTIVE,2018-10-04,2024-09-21,2558.39,GB26BARC26658048941420
ACC-UK-000028,CUST-UK-050022,CURRENT,GBP,ACTIVE,2010-04-22,2024-09-08,3079.75,GB76BARC30813500539408
ACC-UK-000029,CUST-UK-050023,CURRENT,GBP,ACTIVE,2013-02-02,2024-08-16,3653.54,GB17BARC42655659284755
ACC-UK-000030,CUST-UK-050024,SAVINGS,GBP,ACTIVE,2014-05-22,2024-08-20,4817.51,GB26BARC99336172621191
ACC-UK-000031,CUST-UK-050025,SAVINGS,GBP,ACTIVE,2010-12-31,2024-08-26,7480.97,GB10BARC48527193086565
ACC-UK-000032,CUST-UK-050026,SAVINGS,GBP,ACTIVE,2021-12-12,2024-11-06,4104.57,GB59BARC67743336781597
ACC-UK-000033,CUST-UK-050027,CURRENT,GBP,ACTIVE,2020-02-14,2024-10-23,5739.2,GB53BARC84270524599782
ACC-UK-000034,CUST-UK-050028,CURRENT,GBP,ACTIVE,2017-09-19,2024-09-05,7186.53,GB91BARC32603526573819
ACC-UK-000035,CUST-UK-050029,CURRENT,GBP,ACTIVE,2022-10-04,2024-09-13,2405.09,GB92BARC65070313026405
ACC-UK-000036,CUST-UK-050030,CURRENT,GBP,ACTIVE,2017-04-02,2024-10-17,3056.29,GB73BARC40459064626348
ACC-UK-000037,CUST-UK-050031,CURRENT,GBP,ACTIVE,2010-07-12,2024-09-07,2434.04,GB97BARC19432054568476
ACC-UK-000038,CUST-UK-050032,CURRENT,GBP,ACTIVE,2011-06-14,2024-08-03,6974.35,GB72BARC22590370802634
ACC-UK-000039,CUST-UK-050033,CURRENT,GBP,ACTIVE,2021-07-02,2024-09-05,2916.6,GB11BARC60769225873609
ACC-UK-000040,CUST-UK-050034,CURRENT,GBP,ACTIVE,2019-01-06,2024-10-12,3077.54,GB35BARC44466641208109
ACC-UK-000041,CUST-UK-050035,CURRENT,GBP,ACTIVE,2021-10-06,2024-08-24,4977.91,GB52BARC68410604461645
ACC-UK-000042,CUST-UK-050036,SAVINGS,GBP,ACTIVE,2015-02-19,2024-11-03,2902.96,GB91BARC66686819578702
ACC-UK-000043,CUST-UK-050037,SAVINGS,GBP,ACTIVE,2011-06-03,2024-08-28,4299.06,GB82BARC91989445618110
ACC-UK-000044,CUST-UK-050038,CURRENT,GBP,ACTIVE,2020-05-22,2024-10-27,4411.95,GB47BARC67823583030732
ACC-UK-000045,CUST-UK-050039,CURRENT,GBP,ACTIVE,2019-07-14,2024-11-02,3050.19,GB42BARC58152934449952
ACC-UK-000046,CUST-UK-050040,SAVINGS,GBP,ACTIVE,2018-05-15,2024-08-09,5517.16,GB17BARC26347038375608
ACC-UK-000047,CUST-UK-050041,CURRENT,GBP,ACTIVE,2022-01-14,2024-08-30,4511.77,GB45BARC78578940014220
ACC-UK-000048,CUST-UK-050042,SAVINGS,GBP,ACTIVE,2022-07-26,2024-10-30,3773.45,GB90BARC85171643490314
ACC-UK-000049,CUST-UK-050043,CURRENT,GBP,ACTIVE,2014-01-24,2024-11-02,3167.38,GB29BARC11310969073186
ACC-UK-000050,CUST-UK-050044,CURRENT,GBP,ACTIVE,2013-06-02,2024-10-09,7208.15,GB86BARC84359040670030
ACC-UK-000051,CUST-UK-013901,CURRENT,GBP,ACTIVE,2018-07-22,2024-11-10,4200.0,GB61BARC38159440912692
ACC-UK-000052,CUST-UK-013901,SAVINGS,GBP,ACTIVE,2020-03-15,2024-10-01,8500.0,GB86BARC42406296198461
ACC-UK-000053,CUST-UK-015201,CURRENT,GBP,ACTIVE,2021-05-10,2024-11-08,3200.0,GB42BARC37768363324895
ACC-UK-000054,CUST-UK-015202,BUSINESS,GBP,ACTIVE,2020-09-14,2024-11-10,9800.0,GB40BARC88233454091824
