customer_id,full_name,date_of_birth,nationality,country_of_residence,customer_type,occupation,employer_name,annual_income_declared_gbp,source_of_funds_declared,onboarding_date,kyc_status,kyc_last_reviewed,kyc_document_type,kyc_document_expiry,pep_flag,sanctions_flag,risk_rating,address,address_country
CUST-UK-050009,Dr Annette Robinson,1965-12-16,GB,GB,INDIVIDUAL,Solicitor,Allen & Overy,72000.0,Salary,2018-06-22,VERIFIED,2023-01-02,DRIVING_LICENCE,2026-07-06,False,False,LOW,"4 Kimberley Greens, North Jodiechester, SS5 9WE",GB
CUST-UK-050010,Charlene Wall,1997-12-24,GB,GB,INDIVIDUAL,Construction Worker,Barratt Homes,35000.0,Salary,2010-11-18,VERIFIED,2023-07-26,PASSPORT,2029-05-06,False,False,LOW,"484 Rose Square, Andreaberg, S62 6XA",GB
CUST-UK-050011,Luke Abbott,1994-09-20,NG,GB,INDIVIDUAL,Data Analyst,Barclays,60000.0,Salary,2013-11-21,VERIFIED,2023-05-02,DRIVING_LICENCE,2026-07-24,False,False,LOW,"4 Joe Drive, North Duncanfort, E7G 6UR",GB
CUST-UK-050012,Helen Murphy,1991-08-03,PL,GB,INDIVIDUAL,GP Doctor,NHS Trust,90000.0,Salary,2017-04-24,VERIFIED,2023-03-06,PASSPORT,2027-03-26,False,False,LOW,"Studio 9, Burke Plaza, Bartlettfort, EX34 3LT",GB
CUST-UK-050013,Donald Sanderson,1975-03-02,GB,GB,INDIVIDUAL,Graphic Designer,Freelance Ltd,30000.0,Salary,2016-11-23,VERIFIED,2022-05-09,DRIVING_LICENCE,2027-05-10,False,False,LOW,"Studio 9, Beverley Light, Baileystad, SY6 8XZ",GB
CUST-UK-050014,James Walker,1993-10-04,IN,GB,INDIVIDUAL,Logistics Coordinator,DHL,36000.0,Salary,2013-01-19,VERIFIED,2022-01-04,DRIVING_LICENCE,2029-06-30,False,False,LOW,"627 Adam Green, Millsmouth, HR6 6LD",GB
CUST-UK-050015,Martin Smith,1980-04-07,IN,GB,INDIVIDUAL,Barista,Starbucks,22000.0,Salary,2017-12-20,VERIFIED,2024-02-27,PASSPORT,2025-07-11,False,False,LOW,"374 Thompson Rest, Port Benport, B4 6HD",GB
CUST-UK-050016,Jeffrey Rees,1969-12-23,GB,GB,INDIVIDUAL,Investment Banker,Goldman Sachs,95000.0,Salary,2016-03-22,VERIFIED,2023-08-06,PASSPORT,2030-08-12,False,False,LOW,"71 Hunt Roads, Goddardchester, M98 7SY",GB
CUST-UK-050017,June Kelly,1994-10-27,IN,GB,INDIVIDUAL,Software Developer,Tech Corp Ltd,65000.0,Salary,2020-08-25,VERIFIED,2022-06-12,PASSPORT,2031-10-09,False,False,LOW,"Flat 94J, Georgia Field, East Janefort, L7S 7AD",GB
CUST-UK-050018,Hayley Wilson-Atkinson,1971-03-26,IN,GB,INDIVIDUAL,NHS Nurse,NHS Trust,38000.0,Salary,2010-07-30,VERIFIED,2023-09-09,PASSPORT,2026-05-19,False,False,LOW,"823 Pamela Harbor, Oliverborough, DY5 4AX",GB
CUST-UK-050019,Ms Margaret Smith,1980-02-29,GB,GB,INDIVIDUAL,Accountant,Deloitte,55000.0,Salary,2015-08-09,VERIFIED,2024-05-01,DRIVING_LICENCE,2031-01-18,False,False,LOW,"6 Ford Roads, East Kieranshire, BT3 8SZ",GB
CUST-UK-050020,Kelly Johnson,1988-12-11,NG,GB,INDIVIDUAL,Retail Manager,Marks & Spencer,32000.0,Salary,2021-01-18,VERIFIED,2023-06-30,PASSPORT,2031-01-06,False,False,LOW,"3 Lynn Club, North Michelle, SM97 0JN",GB
CUST-UK-050021,Keith Walker,1993-07-17,PL,GB,INDIVIDUAL,Civil Servant,HMRC,42000.0,Salary,2018-10-04,VERIFIED,2024-01-16,PASSPORT,2026-12-13,False,False,LOW,"2 Wright Views, Jenniferville, SM46 8XU",GB
CUST-UK-050022,Dr Gerard Thomas,1985-07-31,PL,GB,INDIVIDUAL,Electrician,Self-Employed,48000.0,Salary,2010-04-22,VERIFIED,2024-04-27,DRIVING_LICENCE,2028-12-15,False,False,LOW,"Studio 74, Fiona Mews, Morganfort, KA5 1GP",GB
CUST-UK-050023,Mr Hugh Taylor,1989-08-26,PL,GB,INDIVIDUAL,University Lecturer,UCL,52000.0,Salary,2013-02-02,VERIFIED,2022-04-29,DRIVING_LICENCE,2029-11-29,False,False,LOW,"Flat 3, Johnson Parks, Carterborough, NR2 7UE",GB
CUST-UK-050024,Martin Morley,1974-11-17,PH,GB,INDIVIDUAL,Marketing Manager,Unilever,58000.0,Salary,2014-05-22,VERIFIED,2022-09-29,PASSPORT,2030-04-10,False,False,LOW,"Studio 7, Smith Plaza, South Karl, G1E 5WL",GB
CUST-UK-050025,Shaun Taylor,1984-11-21,NG,GB,INDIVIDUAL,Solicitor,Allen & Overy,72000.0,Salary,2010-12-31,VERIFIED,2022-10-10,PASSPORT,2031-10-29,False,False,LOW,"Flat 60, Morris Squares, Cooperberg, BD28 1TE",GB
CUST-UK-050026,Dr Tom Taylor,1965-02-24,PH,GB,INDIVIDUAL,Construction Worker,Barratt Homes,35000.0,Salary,2021-12-12,VERIFIED,2024-04-29,PASSPORT,2028-09-30,False,False,LOW,"Studio 78c, Damian Roads, Julianland, CB17 4AB",GB
CUST-UK-050027,Trevor Stephenson,1985-11-22,PL,GB,INDIVIDUAL,Data Analyst,Barclays,60000.0,Salary,2020-02-14,VERIFIED,2024-01-27,PASSPORT,2026-09-16,False,False,LOW,"47 King Unions, Hutchinsonside, E75 6LT",GB
CUST-UK-050028,Rebecca Armstrong-Vincent,1995-08-22,PH,GB,INDIVIDUAL,GP Doctor,NHS Trust,90000.0,Salary,2017-09-19,VERIFIED,2022-12-27,PASSPORT,2027-10-16,False,False,LOW,"Flat 39Z, Lloyd Field, Josephineberg, CB0M 0YQ",GB
CUST-UK-050029,Jodie Morgan-Harris,1966-12-18,IN,GB,INDIVIDUAL,Graphic Designer,Freelance Ltd,30000.0,Salary,2022-10-04,VERIFIED,2022-01-15,PASSPORT,2026-09-18,False,False,LOW,"12 Sian Stream, Morganside, CA6 4XE",GB
CUST-UK-050030,Jamie Miah,1968-01-02,IN,GB,INDIVIDUAL,Logistics Coordinator,DHL,36000.0,Salary,2017-04-02,VERIFIED,2023-12-24,PASSPORT,2030-05-07,False,False,LOW,"Studio 61i, Ian Hollow, Clarkbury, G6H 8SY",GB
CUST-UK-050031,Dr Adam Robinson,1973-07-27,GB,GB,INDIVIDUAL,Barista,Starbucks,22000.0,Salary,2010-07-12,VERIFIED,2022-01-17,PASSPORT,2025-05-08,False,False,LOW,"Flat 6, Barrett Crossing, Greenborough, RH9A 5JF",GB
CUST-UK-050032,Emily Henderson,1996-04-17,NG,GB,INDIVIDUAL,Investment Banker,Goldman Sachs,95000.0,Salary,2011-06-14,VERIFIED,2023-04-09,DRIVING_LICENCE,2032-12-30,False,False,LOW,"020 Pearson Freeway, Andrewburgh, BL2 8ED",GB
CUST-UK-050033,Emma Watkins,1975-10-08,IE,GB,INDIVIDUAL,Software Developer,Tech Corp Ltd,65000.0,Salary,2021-07-02,VERIFIED,2023-09-11,PASSPORT,2030-07-22,False,False,LOW,"Studio 17T, Ford Common, Tinaberg, G4 6ZW",GB
CUST-UK-050034,Miss Carole Matthews,1993-03-18,PL,GB,INDIVIDUAL,NHS Nurse,NHS Trust,38000.0,Salary,2019-01-06,VERIFIED,2023-11-17,PASSPORT,2031-10-01,False,False,LOW,"Studio 5, Patel Drives, Riceland, S1 2XB",GB
CUST-UK-050035,Mrs Carly O'Sullivan,1989-10-14,IE,GB,INDIVIDUAL,Accountant,Deloitte,55000.0,Salary,2021-10-06,VERIFIED,2022-01-09,PASSPORT,2025-02-13,False,False,LOW,"Flat 15, Clark Harbors, Port Anne, B9S 0GL",GB
CUST-UK-050036,Paige Burton,1980-03-08,GB,GB,INDIVIDUAL,Retail Manager,Marks & Spencer,32000.0,Salary,2015-02-19,VERIFIED,2023-08-10,DRIVING_LICENCE,2030-01-16,False,False,LOW,"45 Lee Drives, Port Marian, E4 6UZ",GB
CUST-UK-050037,Matthew Bailey,1972-11-16,IE,GB,INDIVIDUAL,Civil Servant,HMRC,42000.0,Salary,2011-06-03,VERIFIED,2023-04-14,DRIVING_LICENCE,2032-09-16,False,False,LOW,"4 Mills Avenue, Morrisburgh, S83 1RB",GB
CUST-UK-050038,Bernard Lee,1973-11-29,GB,GB,INDIVIDUAL,Electrician,Self-Employed,48000.0,Salary,2020-05-22,VERIFIED,2023-08-28,DRIVING_LICENCE,2029-12-04,False,False,LOW,"13 Fox Pine, South Dylanmouth, N21 8WH",GB
CUST-UK-050039,Aimee Hughes,1993-08-24,GB,GB,INDIVIDUAL,University Lecturer,UCL,52000.0,Salary,2019-07-14,VERIFIED,2022-03-19,PASSPORT,2026-08-27,False,False,LOW,"Studio 52C, Pauline Mills, Henryshire, N8 4TT",GB
CUST-UK-050040,Kimberley Walker,1989-04-29,GB,GB,INDIVIDUAL,Marketing Manager,Unilever,58000.0,Salary,2018-05-15,VERIFIED,2022-01-07,DRIVING_LICENCE,2030-05-27,False,False,LOW,"Studio 78, Benjamin Mission, Port Glennland, G0D 7WW",GB
CUST-UK-050041,Miss Hayley Wood,1978-03-19,GB,GB,INDIVIDUAL,Solicitor,Allen & Overy,72000.0,Salary,2022-01-14,VERIFIED,2022-05-11,PASSPORT,2032-01-06,False,False,LOW,"Flat 9, Bruce Inlet, Clarkeland, NW6 2WD",GB
CUST-UK-050042,Mr Howard Welch,1990-01-16,GB,GB,INDIVIDUAL,Construction Worker,Barratt Homes,35000.0,Salary,2022-07-26,VERIFIED,2023-10-10,DRIVING_LICENCE,2027-01-20,False,False,LOW,"Studio 29, Nash Falls, Lake Jennifer, S5 7ZN",GB
CUST-UK-050043,Dr Karl Kerr,1980-03-06,GB,GB,INDIVIDUAL,Data Analyst,Barclays,60000.0,Salary,2014-01-24,VERIFIED,2023-04-05,PASSPORT,2028-10-11,False,False,LOW,"9 Tony Center, Cameronside, E4 2LT",GB
CUST-UK-050044,Joanna Wilson,1997-02-27,IE,GB,INDIVIDUAL,GP Doctor,NHS Trust,90000.0,Salary,2013-06-02,VERIFIED,2022-04-12,DRIVING_LICENCE,2032-07-19,False,False,LOW,"522 Mitchell Village, Boothberg, LN7W 1AL",GB
CUST-UK-013901,Marcus T. Oyelaran,1978-09-03,GB,GB,INDIVIDUAL,Independent Financial Advisor,Self-Employed,55000.0,Consultancy Fees,2018-07-22,VERIFIED,2023-07-22,PASSPORT,2028-09-03,False,False,MEDIUM,"31 Canary Wharf, London E14 5AB",GB
CUST-UK-015201,Adebayo O. Adeyemi,1991-03-17,NG,GB,INDIVIDUAL,Business Development Manager,Meridian Advisory Group,48000.0,Salary,2021-05-10,ENHANCED_DUE_DILIGENCE,2024-05-10,PASSPORT,2029-03-17,True,False,HIGH,"22 Victoria Embankment, London WC2N 6NN",GB
CUST-UK-015202,Irina V. Breskvin,1985-11-24,RU,GB,INDIVIDUAL,Art Dealer,Breskvin Fine Art Ltd,62000.0,Business Revenue,2020-09-14,ENHANCED_DUE_DILIGENCE,2024-03-14,PASSPORT,2027-11-24,False,True,HIGH,"8 Mayfair Square, London W1J 5BN",GB
